Abundance	Domain	Phylum	Class	Order	Family	Genus
19431	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
584	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
430	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
4884	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
74	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
29	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
43	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
325	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
183	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
796	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
52	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
41	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
346	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1528	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
725	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
201	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
2230	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
412	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
71	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
53	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
24	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
1973	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
21	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
9	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Paulisebacina
4	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
11	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
27	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
116	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
2	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
32	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
117	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
213	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
1815	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
1615	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
152	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Unclassified	Unclassified
16	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
1269	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
3	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
37	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
4	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
585	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
7	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
162	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unclassified	Unclassified
67	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
10	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
4	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis
36	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Laetinaevia
40	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
43	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
37	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Unclassified
89	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Eremomycetaceae	Arthrographis
102	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella
1	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
7	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora
13	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus
49	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia
47	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
34	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
63	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus
5	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys
294	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium
25	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
103	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
23	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Sclerostagonospora
2	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria
18	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
1	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Pezizella
27	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
5	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Torula
1	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
3	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum
2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
10	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
14	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
12	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
14	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Torula
8	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
8	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
3	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora
3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
53	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
2	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiales_fam_Incertae_sedis	Mrakiella
6	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella
23	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
7	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
3	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
9	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium
1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
