Abundance	Domain	Phylum	Class	Order	Family	Genus
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
40277	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
999	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
26	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
5517	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1812	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
3100	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
22546	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1345	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
3659	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
66	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
39	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
3502	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
785	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
14	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
2253	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
19	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
664	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
1	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
6442	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
3	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
398	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
12	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
40	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1391	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
693	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
6	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Unclassified	Unclassified
881	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
614	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
649	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
9	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
54	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
19	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
413	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
403	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella
21	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
1044	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unclassified	Unclassified
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
98	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
3	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
2510	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
262	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
505	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
7	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
13	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
911	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Unclassified
30	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Eremomycetaceae	Arthrographis
48	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
35	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium
10	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Lectera
3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
193	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella
152	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
233	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium
23	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Gliomastix
74	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
9	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
23	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora
3	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora
155	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus
128	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Schwanniomyces
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
1	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
272	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium
2	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
1	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys
123	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
9	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Sclerostagonospora
4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria
3	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
15	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
120	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
2	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
2	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora
23	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
17	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Torula
120	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus
7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
39	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
2	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
29	Fungi	Ascomycota	Sordariomycetes	Melanosporales	Melanosporaceae	Melanospora
3	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
4	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Bulleromyces
