Abundance	Domain	Phylum	Class	Order	Family	Genus
72819	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
14967	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
19151	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1926	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
16	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
157	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
12	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
26	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
6198	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1688	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
5164	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
388	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
9	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
4	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
2843	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
4708	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1873	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
15543	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
11069	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
5119	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
6	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
2966	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
748	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
7094	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
66	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium
5560	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
2612	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
48	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
1046	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Paulisebacina
1279	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
112	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
729	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
2	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa
7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
796	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
12	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
1411	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
841	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
20	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
10	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
3	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
1080	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
28	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
321	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Unclassified
6	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
1667	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
146	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Pezizella
10	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
781	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
1619	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
560	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
6	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
813	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
950	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
491	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
631	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
22	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
1635	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
97	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
5	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
1	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
808	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
