Abundance	Domain	Phylum	Class	Order	Family	Genus
21807	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
5331	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
8307	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
471	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
30	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1741	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
594	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
1430	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
151	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
782	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1215	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
500	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
3241	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
1628	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
531	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
1111	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
236	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
2648	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
12	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium
336	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
836	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
6	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
514	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Paulisebacina
449	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
25	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
222	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
1	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa
3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
278	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
