Abundance	Domain	Phylum	Class	Order	Family	Genus
133	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
72	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
338	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
758	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
88	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
1756	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
1212	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
103	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1606	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
56	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
665	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
22	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
221	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
562	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
10	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
22	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
22	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
282	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
16	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
1358	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
171	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
6	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
18	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
611	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
168	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
177	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
