Abundance	Domain	Phylum	Class	Order	Family	Genus
25	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
300	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
325	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
21	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
3674	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
431	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1963	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
15	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
4830	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
204	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
999	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
166	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
284	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
4743	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
34	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
10	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
84	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
54	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
15	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
382	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
29	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
1292	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
61	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
677	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
4	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
205	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella
15	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
462	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
11	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
7	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
44	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unclassified	Unclassified
110	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
723	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
909	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
199	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
62	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
34	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Endophoma
7	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
24	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Unclassified
472	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
512	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
86	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
349	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium
16	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Lectera
16	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
339	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
263	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
79	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
22	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
66	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium
9	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Gliomastix
141	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
2	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola
5	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
8	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora
45	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
12	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
1	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Schwanniomyces
84	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
