Abundance	Domain	Phylum	Class	Order	Family	Genus
943	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
257	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
757	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
497	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
747	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
959	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
7093	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
2701	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1458	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
157	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
137	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
851	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
11	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
1634	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
41	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
190	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
74	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
45	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
610	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
344	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
31	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
