Abundance	Domain	Phylum	Class	Order	Family	Genus
12	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
519	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
104	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
709	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
21	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
1151	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
64	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
83	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
2010	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
380	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1837	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
6	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
54	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
97	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
175	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
185	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
197	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
23	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
447	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
372	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
115	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
39	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
4	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
111	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium
2610	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
121	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
410	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
2	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
4	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
2	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
401	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
18	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
10	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
112	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
8	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
53	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
253	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
16	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
14	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
13	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
9	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
22	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
12	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
258	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella
922	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
25	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
31	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unclassified	Unclassified
72	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
76	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis
1	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Unclassified
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
67	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
32	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
19	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Laetinaevia
46	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
2	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
5	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
2	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
76	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa
781	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Unclassified
20	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
14	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
16	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella
23	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
2	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
84	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola
3	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus
9	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Schwanniomyces
16	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita
3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia
4	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
31	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
58	Fungi	Basidiomycota	Unclassified	Unclassified	Unclassified	Unclassified
14	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria
5	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
11	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Unclassified
48	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium
2	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
2	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Dothiorella
12	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Unclassified
5	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Piskurozyma
10	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema
4	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
4	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
1	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
2	Fungi	Ascomycota	Sordariomycetes	Microascales	Halosphaeriaceae	Clavatospora
2	Fungi	Basidiomycota	Unclassified	Unclassified	Unclassified	Unclassified
