Abundance	Domain	Phylum	Class	Order	Family	Genus
49	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
16	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
697	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
75	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
854	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
339	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
31	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
741	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
349	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
18	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
3	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
214	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
47	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
11	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
101	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
67	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
276	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
287	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
53	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
5	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
204	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
3	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
209	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
101	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
32	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
3	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
99	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
27	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
7	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
34	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
15	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
7	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
47	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
21	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
10	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
5	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
12	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
9	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
20	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
28	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
42	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
14	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
13	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
5	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
15	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
20	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Unclassified
44	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
21	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
34	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus
49	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
40	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
54	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
18	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
16	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	Unclassified
5	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
32	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa
6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
11	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
27	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium
5	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora
2	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
7	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
108	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium
9	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
1	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	Unclassified
53	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
