Abundance	Domain	Phylum	Class	Order	Family	Genus
54446	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
31085	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
14361	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
899	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
13	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
39	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
278	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
65	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
43	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
16037	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
145	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
5613	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1404	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
31	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
2	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
16650	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
7479	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
8	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
652	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
1	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
668	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
442	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
7	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
3039	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
135	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
4802	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
321	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
24	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium
1310	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
17	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
306	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
103	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Paulisebacina
3962	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
56	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
1452	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
1872	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
58	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
2560	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
103	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
266	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
40	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
62	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
57	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
34	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
191	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
2841	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Unclassified
26	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
16	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
6396	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Pezizella
49	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
1781	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
93	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
893	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
5	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
202	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
1321	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
661	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
130	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
1021	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
33	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
16	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
57	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
11	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
16	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
646	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
2573	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Unclassified
1	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
36	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
559	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
978	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Roesleria
262	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis
2547	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
52	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea
12	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
37	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
921	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
