Abundance	Domain	Phylum	Class	Order	Family	Genus
233	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
297	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
201	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1953	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
989	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
9542	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
6318	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
1617	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
4648	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
309	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
867	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
1054	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
855	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
19	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
3832	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
21	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
51	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
56	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1018	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
43	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
4276	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
153	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
14	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
14	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
1058	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
246	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
37	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
403	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
32	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
212	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
1791	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
62	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
5	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
779	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
47	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
569	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
45	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
783	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
6184	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
928	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
109	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
256	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
4	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
546	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
107	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Unclassified
64	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
223	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
4	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Pezizella
22	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Eucasphaeria
1199	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
12	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
101	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
65	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
10	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
589	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
6	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Unclassified	Unclassified
5	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
16	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
43	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
78	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
49	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
17	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
481	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
151	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
346	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
1826	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
235	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
78	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
46	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
345	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
10	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
5	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella
13	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Unclassified
735	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
434	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
178	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
136	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
