Abundance	Domain	Phylum	Class	Order	Family	Genus
1849	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
944	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
3359	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
93	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
13	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
6630	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
68	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
2607	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1883	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
6842	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
13175	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
147	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
988	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
423	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
730	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
423	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
110	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
9	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
1601	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
114	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
33	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
6	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
100	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
16	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
40	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
8	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Pezizella
4	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
28	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
869	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
978	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
79	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
4	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
169	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
362	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis
17	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
1803	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
647	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
7	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
29	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella
103	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
36	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus
