Abundance	Domain	Phylum	Class	Order	Family	Genus
289	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
86	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
604	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1053	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
413	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
2160	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
15220	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
2267	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1867	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
72	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
817	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
25	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
542	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
16	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
1487	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
10	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
140	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
22	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
730	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
306	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
2811	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
265	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
6	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
17	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
18	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
720	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
338	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
417	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
4	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
154	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
1766	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
87	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
27	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
6	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
9	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
2112	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
74	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
2253	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
1448	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
22	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
30	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
1172	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
89	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Unclassified
1	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
350	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Eucasphaeria
484	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
39	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
109	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
12	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
517	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
63	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
74	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
18	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
483	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
235	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
91	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
21	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
260	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
16	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
562	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
154	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
205	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
73	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
716	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium
54	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
145	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
20	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unclassified	Unclassified
351	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
161	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
19	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
109	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Unclassified
107	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
5	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
155	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
