Abundance	Domain	Phylum	Class	Order	Family	Genus
1874	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
7222	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
2640	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
293	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
14	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
68	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
6096	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
72	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
4512	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
161	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1966	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
2017	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
470	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
195	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
203	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
592	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
947	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
18	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
331	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
221	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
223	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium
21	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
5554	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
78	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
13	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Paulisebacina
646	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
2519	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
436	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
4	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
512	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
1162	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
20	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
53	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
129	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Unclassified
68	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
205	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Pezizella
3	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
745	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
138	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
48	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
863	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
19	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
1955	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
153	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
62	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
88	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
23	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
18	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
19	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
218	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
3568	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
241	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
8	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Roesleria
340	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
5	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
3	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Unclassified
375	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
247	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
39	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
16	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
6	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis
49	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Laetinaevia
7	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus
4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
7	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
55	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
68	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
8	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
29	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
778	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
9	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
1	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa
64	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
12	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Krasilnikovozyma
3	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
48	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella
62	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
3	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus
59	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
40	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	Unclassified
135	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
13	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
58	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	Unclassified
15	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
11	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
4	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
64	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora
2	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita
3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia
