Abundance	Domain	Phylum	Class	Order	Family	Genus
18	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
233	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
724	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
6259	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
1826	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
102	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1439	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
128	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
6	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
372	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
425	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
53	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
14	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
7	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
168	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
47	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
14	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
2	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
8	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium
