Abundance	Domain	Phylum	Class	Order	Family	Genus
6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
1358	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
156	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
7350	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
10	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
1085	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
3307	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
7219	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
1504	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
5171	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
176	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
527	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
5443	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
1	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
6803	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
104	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
155	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
1	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
2	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
21	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
300	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
72	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Eucasphaeria
28	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
71	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
247	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
60	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
158	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
2716	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
45	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
368	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
1467	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
29	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
1	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella
1226	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
117	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
40	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
20	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium
9	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unclassified	Unclassified
3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
986	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
2596	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
25	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
2357	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
1279	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
7	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Unclassified
67	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
246	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
46	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
4	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
2	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
12	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
837	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
11	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Endophoma
429	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Unclassified
43	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
952	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
130	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
5	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella
190	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
769	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
717	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella
27	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium
2	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
10	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
17	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
9	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
404	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
22	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
745	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
498	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita
48	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
55	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
52	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
17	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
220	Fungi	Basidiomycota	Unclassified	Unclassified	Unclassified	Unclassified
3	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola
34	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
