Abundance	Domain	Phylum	Class	Order	Family	Genus
51	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
955	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
17	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
3270	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
13978	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
4796	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
4	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
6160	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
3768	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1125	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
11704	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
15299	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
1189	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
173	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
35	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
15	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
488	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
131	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
25	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
7	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
247	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium
3	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
6550	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
132	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
1138	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
13	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
1	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
115	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
13	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
508	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
766	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
1110	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
448	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
11	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
20	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
9	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
29	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
178	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
6	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella
3	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium
26	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
61	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
10	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
25	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis
441	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
374	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
21	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
112	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
3	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus
20	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
29	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
9	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
557	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	Unclassified
1	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Unclassified
71	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Eremomycetaceae	Arthrographis
18	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
97	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
23	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium
7	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora
427	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella
5	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
23	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
9	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium
3	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
112	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium
